"EIC";"Ýsim.Liste";"Licence.No";"Facility.Name";"Facility.id";"Company.Name";"Investor.Name";"Capacity..Mwe.";"SQL.Üretim.Mwe";"Kurulu.Güç";"Verilerin.alýndýðý.site";"Notlar";"Fuel.Type";"Facility.Type";"Location.Code..1.";"Location.Code..2.";"Location.Code..3.";"Pre.licence.Date";"Pre.licence.No";"Licence.Date";"Licence.end.date";"Commission.date";"Decommission.date";"id";"name";"shortName";"uevcb"
"40W000000000120X";"BORES";"EÜ/5466-3/03230";"BORES";6176;"BORES BOZCAADA RÜZGAR ENER.SANT.SAN.VE TÝC.A.Þ.";NA;38;10,2;10,2;"http://www.demirer.com.tr/santral/bores/index.html";NA;"Wind";"YAP ÝÞLET DEVRET SANTRALLARI";"ÇANAKKALE";"";NA;NA;NA;"12.02.2015";"25.07.2020";NA;NA;120;"BOZCAADA RES";"Bozca       ";"40W000003204384F"
"40W0000000004560";"ALÝZE RES";"EÜ/757-4/638";"ALÝZE RES";6014;"ALÝZE ENERJÝ ELEKTRÝK ÜRETÝM ANONÝM ÞÝRKETÝ";NA;43,6;12,5;10,7;"http://www.demirer.com.tr/santral/alize/cesme/index.html";"resmi sayfasýnda en son 2017 yýlýnda üretiminin arttýrýldýðý yazmakta";"Wind";"SERBEST ÜRETÝM ÞÝRKETÝ ";"ÝZMÝR";"ÇEÞME";NA;NA;NA;"16.05.2006";"16.05.2055";2017-02-03;NA;456;"ALÝZE ENERJÝ ÇEÞME SANTRALI";"ÇEÞME       ";"40W000000003568B"
"40W000000000493V";"MARE RES";"EÜ/565-5/580";"MARE RES";6111;"MARE MANASTIR RÜZGAR ENERJÝ SANTRALÝ SANAYÝ VE TÝCARET ANONÝM ÞÝRKETÝ";NA;224;65;56,2;"http://www.demirer.com.tr/santral/mare/index.html";"resmi sayfasýnda en son 2016 yýlýnda üretiminin arttýrýldýðý yazmakta";"Wind";"SERBEST ÜRETÝM ÞÝRKETÝ ";"ÝZMÝR";"ÇEÞME";NA;NA;NA;"20.10.2005";"20.10.2054";2016-12-05;NA;493;"Mare Manastýr Rüz.En.Sant.";"Mare        ";"40W0000000036687"
"40W000000000502J";"ÝNTEPE RES";"EÜ/249-3/385";"ÝNTEPE RES";6076;"ANEMON ENERJÝ ELEKTRÝK ÜRETÝM ANONÝM ÞÝRKETÝ";NA;221,2;59,96;55,7;"http://www.demirer.com.tr/santral/anemon/index.html";"resmi sayfasýnda en son 2016 yýlýnda üretiminin arttýrýldýðý yazmakta";"Wind";"SERBEST ÜRETÝM ÞÝRKETÝ ";"ÇANAKKALE";"";NA;NA;NA;"24.11.2003";"24.11.2052";2016-05-06;NA;502;"Ýntepe RES (Anemon)";"anemon      ";"40W100000003689N"
"40W000000000506B";"KARAKURT RES";"EÜ/250-4/389";"KARAKURT RES";6087;"DENÝZ ELEKTRÝK ÜRETÝM LÝMÝTED ÞÝRKETÝ";NA;40;11,81;10,8;"https://www.fernas.com.tr/portfolio/karakurt-ruzgar-enerji-santrali-projesi/";"10.8 MW elektriksel ve elektromekaniksel kurulu güce sahiptir. Buna ek olarak, firmanýn bu sahada bulunan kurulu gücünü 21.225 MW elektriksel ve elektromekaniksel kurulu güce çýkarma yetkisi bulunmaktadýr.";"Wind";"SERBEST ÜRETÝM ÞÝRKETÝ ";"MANÝSA";"AKHÝSAR";NA;NA;NA;"05.12.2003";"05.12.2052";NA;NA;506;"Karakurt RES";"KARRES      ";"40W000000003716M"
"40W000000000558T";"BURGAZ RES";"EÜ/207-4/353";"BURGAZ RES";6035;"DOÐAL ENERJÝ ELEKTRÝK ÜRETÝM ANONÝM ÞÝRKETÝ";NA;57,64;15,82;14,9;"https://polatenerji.com/santrallerimiz/burgaz-res";NA;"Wind";"SERBEST ÜRETÝM ÞÝRKETÝ ";"ÇANAKKALE";"";NA;NA;NA;"11.09.2003";"11.09.2052";NA;NA;558;"BURGAZ RES";"burgaz      ";"40W000000003729D"
"40W000000000573X";"BARES";"EÜ/1332-16/969";"BARES";6027;"BÝLGÝN GÜÇ SANTRALLERÝ ENERJÝ ÜRETÝM ANONÝM ÞÝRKETÝ";NA;205,2;59;50;"http://www.bilgin.com.tr/ana-sayfa#1";NA;"Wind";"SERBEST ÜRETÝM ÞÝRKETÝ ";"BALIKESÝR";"BANDIRMA";NA;NA;NA;"05.10.2007";"05.10.2052";2015-12-25;NA;573;"BANDIRMA RES(BÝLGÝN GÜÇ)";"BARES       ";"40W000000003744H"
"40W000000000587M";"YUNTDAÐI RES";"EÜ/325-2/457";"YUNTDAÐI RES";6171;"ÝNNORES ELEKTRÝK ÜRETÝM A.Þ.";NA;224;60;60;"https://www.enerjiatlasi.com/ruzgar/yuntdag-ruzgar-santrali-res.html";NA;"Wind";"SERBEST ÜRETÝM ÞÝRKETÝ ";"ÝZMÝR";"ALÝAÐA";NA;NA;NA;"04.06.2004";"04.06.2053";2012-01-18;NA;587;"YUNTDAG";"YNT         ";"40W0000000037578"
"40W000000000591V";"SEBENOBA RES";"EÜ/325-3/458";"SEBENOBA RES";6139;"DENÝZ ELEKTRÝK ÜRETÝM LÝMÝTED ÞÝRKETÝ";NA;132;67;60;"https://www.fernas.com.tr/portfolio/sebenoba-ruzgar-enerji-santrali-projesi/";NA;"Wind";"SERBEST ÜRETÝM ÞÝRKETÝ ";"HATAY";"";NA;NA;NA;"04.06.2004";"04.06.2053";2015-02-13;NA;591;"SEBENOBA RES";"SEBRES      ";"40W0000000037667"
"40W000000000610G";"ÇATALCA RES";"EÜ/284-7/398";"ÇATALCA RES";6039;"SANKO RÜZGAR ENERJÝSÝ SANAYÝ VE TÝCARET ANONÝM ÞÝRKETÝ";NA;352;93;100;"https://www.sanko.com.tr/tr/sektorel-enerji-catalca-ruzgar-santrali.aspx";NA;"Wind";"SERBEST ÜRETÝM ÞÝRKETÝ ";"ÝSTANBUL";"ÇATALCA";NA;NA;NA;"08.01.2004";"08.01.2053";2016-12-16;NA;610;"ÇATALCA RES";"ÇARES       ";"40W0000000037772"
