"orgEic";"injectionUnit_id";"injectionUnit_name";"injectionUnit_eic"
"40X000000010374J";3197407;"SAMATLAR REG. ve HES";"40W0000031974074"
"40X000000009426O";3194378;"TRABZON RÝZE ÇÖPGAZI SANTRALÝ";"40W0000031943780"
"40X000000005332G";99624;"2M ENERJÝ ÜRETÝM A.Þ.";"40W000000099624H"
"40X000000005332G";3200006;"ÞAVÞAT HES";"40W000003200006U"
"40X000000011652C";3204583;"3S KALE JES-1";"40W0000032045839"
"40X000000007659B";1631731;"AKDERE HES";"40W0000016317315"
"40X000000009661E";3196695;"ABALIOÐLU";"40W000003196695F"
"40X000000011393A";3200773;" KARAÇAY HES(ABDÜLMECÝT ÝNÞ.)";"40W000003200773O"
"40X000000011393A";3200774;" KUZUCULU HES(ABDÜLMECÝT ÝNÞ.)";"40W000003200774M"
"40X000000011393A";3200772;"DEGÝRMENDERE HES(ABDÜLMECÝT ÝNÞ.)";"40W000003200772Q"
"40X000000011393A";3200770;"SUÇATI HES(ABDÜLMECÝT ÝNÞ.)";"40W000003200770U"
"40X000000004892K";81786;"SÖKE ÇATALBÜK";"40W0000000817860"
"40X000000008741L";2813609;"ÇEÞME RES";"40W000002813609J"
"40X000000005573V";107297;"Acarsoy Denizli Doðalgaz Santrali";"40W000000107297Q"
"40X000000010372N";3197267;"ACWA POWER KIRIKKALE DGKÇS";"40W000003197267V"
"40X000000006560Z";335710;"ADACAMÝ ELEKTRÝK ÜRETÝM A.Þ.";"40W000000335710M"
"40X000000011810K";3205381;"ADAPAZARI DGKÇ SANTRALI";"40W000003205381G"
"40X000000010090X";3199453;"ADAPAZARI ÞEKER ÜRT.TES.";"40W000003199453O"
"40X000000006842P";538521;"ADASU REGÜLATÖRÜ VE HES";"40W000000538521X"
"40X000000007900W";1724114;"YUNUS EMRE TES";"40W000001724114D"
"40X000000004649T";112265;"FINDIK HES";"40W000000112265L"
"40X100000011133N";3200293;"AFJES";"40W0000032002931"
"40X000000010048W";3196311;"AFYON-1 BÝYOGAZ SANTRALÝ";"40W000003196311M"
"40X000000008041C";1811028;"AFYON  BÝYOGAZ ENERJÝ SANTRALÝ";"40W000001811028K"
"40X000000004510N";101584;"AGE DENÝZLÝ DOÐALGAZ ELEKTRÝK ÜRETÝM A.Þ.";"40W000000101584G"
"40X000000004510N";101585;"AGE ENERJÝ DOÐALGAZ KÇS";"40W000000101585E"
"40X000000004510N";3204560;"PINAR HES(AGE ENR.)";"40W000003204560L"
"40X000000004510N";3204597;"Sarmaþýk 1 HES";"40W000003204597Z"
"40X000000004510N";3204598;"Sarmaþýk 2 HES";"40W000003204598X"
"40X0000000094890";3194349;"OVACIK BES";"40W0000031943497"
"40X000000008901P";3018441;"GÜNEYYAKA HES";"40W000003018441H"
"40X0000000074997";1398579;"AHMET HAKAN ELEKTRÝK ÜRETÝM A.Þ";"40W0000013985799"
"40X000000010354P";3196989;"AHMETLÝ HES";"40W000003196989Z"
"40X000000011345L";3203814;"AKDAÐ RES(AHSEN ENR.)";"40W000003203814L"
"40X0000000117722";3204650;"AHÝ SULUOVA BÝYOGAZ TESÝSLERÝ";"40W000003204650K"
"40X000000009101F";3192240;"ALÇE HES";"40W0000031922402"
"40X0000000104120";3197568;"AÝRRES-4 RES";"40W000003197568H"
"40X0000000006785";4825;"Ak Gýda San.Tic.A.Þ.Santrali";"40W000000004825C"
"40X000000007103L";724131;"ÖZLÜCE REG. VE HES(AK-ÖZLÜCE ELK.)";"40W000000724131L"
"40X000000003425J";298371;"GECÜR HES";"40W000000298371B"
"40X000000003425J";410863;"Gecür HES";"40W000000410863R"
"40X000000003425J";37031;"KORUKÖY HES";"40W000000037031G"
"40X000000011653A";3204617;"DÜZCE BÝYOKÜTLE ENERJÝ ÜRETÝM TESÝSÝ";"40W000003204617I"
"40X000000011779P";3204678;"AKATEKS TERMÝK KOJENERASYON SANTRALÝ";"40W000003204678Z"
"40X0000000002425";2621;"Akbaþlar Enerji Üretim UEVCB";"40W0000000026211"
"40X000000005657P";112164;"Akdenizli Elektrik Üretim A.Þ.";"40W000000112164R"
"40X000000005657P";112161;"Sayaç 1";"40W000000112161X"
"40X000000005657P";112162;"Sayaç 2";"40W000000112162V"
"40X000000005657P";112163;"Sayaç 3";"40W000000112163T"
"40X000000005430G";106182;"AKDENÝZ KÝMYA SANAYÝ VE TÝCARET A.Þ.";"40W000000106182B"
"40X000000000166W";721;"AKENERJÝ ALAPLI SANTRALÝ";"40W0000000007217"
"40X000000000166W";4093;"AKENERJÝ AYYILDIZ RES";"40W000000004093R"
"40X000000000166W";720;"AKENERJÝ BOZÜYÜK SANTRALÝ";"40W0000000007209"
"40X000000000166W";727;"AKENERJÝ KEMALPAÞA SANTRALÝ";"40W000000000727W"
"40X000000000166W";25584;"AKENERJÝ ULUABAT HES";"40W000000025584S"
"40X000000000166W";723;"AKENERJÝ ÇERKEZKÖY SANTRALÝ";"40W0000000007233"
"40X000000000166W";17808;"AKOCAK HES";"40W000000017808S"
"40X000000000166W";20289;"BULAM HES";"40W000000020289I"
"40X000000000166W";25642;"BurcBendi HES";"40W0000000256423"
"40X000000000166W";3205710;"Erzin Santrali";"40W000003205710N"
"40X000000000166W";106484;"Feke I";"40W000000106484W"
"40X000000000166W";28346;"Feke II HES";"40W000000028346T"
"40X000000000166W";100054;"GÖKKAYA HES";"40W000000100054D"
"40X000000000166W";1724116;"HÝMMETLÝ HES";"40W0000017241169"
"40X000000009631N";3195267;"DOÐANÞAR REG.VE HES";"40W0000031952674"
"40X0000000045713";49136;"üzümlühes";"40W000000049136N"
"40X100000004590N";49248;"AKRES";"40W000000049248C"
"40X0000000001461";3571;"AKIN TEKSTÝL A.Þ.";"40W000000003571M"
"40X000000010373L";3196976;"SANDIKLI BÝYOGAZ TESÝSÝ";"40W0000031969767"
"40X100000006078N";121315;"REMSU";"40W000000121315V"
"40X0000000005114";3808;"AKKÖY I HES";"40W000000003808H"
"40X0000000005114";84649;"AKKÖY II HES";"40W000000084649W"
"40X0000000005114";3200005;"AKKÖY-I CANSUYU HES";"40W000003200005W"
"40X0000000005114";1546141;"ALADEREÇAM HES";"40W0000015461412"
"40X0000000005114";28441;"SUBOR BORU SAN.VE TÝC.A.Þ.";"40W000000028441Z"
"40X0000000005114";412056;"YALNIZARDIÇ HES";"40W0000004120569"
"40X000000009650J";3195505;"AKPINAR HES";"40W000003195505E"
"40X000000000636L";730;"AKSA AKRÝLÝK KÝMYA SAN. A.Þ";"40W0000000007306"
"40X000000000396F";3804;"ANTALYA DOÐALGAZ ÇEVRÝM SANTRALÝ";"40W000000003804P"
"40X000000000396F";134405;"ANTALYA ENERJÝ SANTRALÝ(Doðalgaz)";"40W0000001344059"
"40X000000000396F";298096;"ATÝK RES";"40W0000002980967"
"40X000000000396F";969;"SAMSUN 1 MOB";"40W0000000009698"
"40X000000009162W";3192481;"BOLU GÖYNÜK ENERJÝ SANTRALÝ";"40W000003192481H"
"40X0000000044490";38248;"TEFEN REGÜLATÖRÜ VE HES";"40W000000038248N"
"40X000000005009N";83166;"AKSU TEMÝZ ENERJÝ ELEKTRÝK ÜR. SAN. VE TÝC. A.Þ.";"40W000000083166K"
"40X000000011374E";3203754;"PAMUKOVA SANTRALÝ";"40W000003203754D"
"40X000000000633R";4048;"Akua Enerji Üretim A.Þ.";"40W000000004048W"
"40X0000000004979";106694;"	AKUA ENERJI ÜRETÝM VE PAZARLAMA SAN VE TÝC A.Þ.";"40W000000106694L"
"40X0000000004979";24380;"AKUA ENERJ? URET?M VE PAZARLAMA SAN VE T?C A.S.";"40W000000024380C"
"40X0000000004979";106691;"AKUA ENERJI ÜRETÝM VE PAZARLAMA SAN VE TÝC A.Þ.";"40W000000106691R"
"40X0000000004979";22504;"AKUA ENERJÝ ÜRETÝM VE PAZARLAMA SAN VE TÝC A.Þ.";"40W000000022504U"
"40X0000000004979";24352;"AKUA ENERJÝ ÜRETÝM VE PAZARLAMA SAN. VE TÝ. A.Þ.";"40W000000024352H"
"40X100000010029N";3196712;"ADO ENERJÝ-AKYURT RES";"40W0000031967124"
"40X100000010029N";3196788;"KONAKPINAR RES";"40W0000031967888"
"40X000000008842F";3204193;"BAKLACI JES";"40W000003204193M"
"40X000000008842F";3192121;"TOSUNLAR 1 JES";"40W000003192121A"
"40X000000008842F";3189054;"ss";"40W0000031890547"
"40X000000010898M";3199651;"AKÇANSA EZÝNE KOJEN";"40W000003199651K"
"40X000000000961A";4020;"Akçay HES";"40W000000004020H"
"40X000000011261R";3200835;"AKÞAR-NAZAR HES";"40W000003200835S"
"40X000000006619S";340575;"AL-YEL ELEKTRÝK ÜRETÝM A.Þ.";"40W000000340575L"
"40X0000000105945";2572;"URFA HES";"40W000000002572P"
"40X000000008139W";1810273;"ALBE-I BÝYOGAZ SANTRALÝ";"40W000001810273C"
"40X000000003847U";49246;"ALDAÞ ALT.YÖN.DAN.ELEK.EN.ÜRE.HÝZ. ÝNÞ. TAAH. SAN.VE TÝC.A.Þ.";"40W000000049246G"
"40X0000000078593";1622565;"KIYIKÖY RES(ALENKA ENR.)";"40W000001622565Y"
"40X000000005754R";117911;"ALES GTG";"40W000000117911S"
"40X0000000002085";3910;"CÝHANBEYLÝ KOJENERASYON TESÝSÝ";"40W000000003910Q"
"40X0000000002085";2776;"DAZKIRI KOJENERASYON TESÝSÝ";"40W0000000027769"
"40X0000000002085";3200690;"ÇAYIRHAN KOJENERASYON TESÝSÝ";"40W000003200690S"
"40X000000000269M";2545;"ALKÝM KAÐIT SANAYÝ VE TÝCARET A.Þ.";"40W000000002545S"
"40X000000000463Q";3753;"ALP ELEKTRÝK ÜRETÝM A.S.";"40W000000003753G"
"40X0000000073253";1236842;"ALPEREN ELEKTRÝK";"40W100001236842N"
"40X0000000073253";1182981;"ALPEREN ELEKTRÝK";"40W000001182981J"
"40X0000000073253";1236841;"DAGBASI";"40W0000012368411"
"40X000000009988J";3197107;"ALPERTEKS SANTRALÝ";"40W000003197107G"
"40X0000000003413";1642620;"ALTEK KARAKUZ HES";"40W0000016426203"
"40X0000000003413";2778;"ALTEK KIRKLARELÝ DGKÇS (Doðalgaz)";"40W0000000027785"
"40X0000000003413";3204712;"GÖNEN HES";"40W000003204712O"
"40X0000000019445";7730;"ALTINMARKA GIDA SANAYÝ VE TÝCARET ANONÝM ÞÝRKETÝ";"40W0000000077308"
"40X100000009241N";3193607;"ALTINYILDIZ KOJENERASYON TESÝSÝ";"40W000003193607G"
"40X000000011640J";3204539;"ALÝBEY RES (ALÝBEY RES A.Þ.)";"40W000003204539C"
"40X000000000361Y";3568;"ALÝZE ENERJÝ ELEKTRÝK ÜRETÝM A.Þ.";"40W000000003568B"
"40X000000000361Y";4130;"ALÝZE ENERJÝ ELEKTRÝK ÜRETÝM A.Þ. (SARIKAYA RES)";"40W000000004130A"
"40X000000000361Y";3988;"ALÝZE ENERJÝ ELEKTRÝK ÜRETÝM A.Þ.(ÇAMSEKÝ)";"40W000000003988Q"
"40X000000000361Y";3989;"KELTEPE RES";"40W000000003989O"
"40X000000000361Y";26628;"KUYUCAK RES";"40W000000026628T"
"40X000000000361Y";26087;"KUYUCAK RES";"40W0000000260870"
"40X000000000361Y";4122;"qq";"40W0000000041229"
"40X000000000361Y";4121;"ÇAMSEKÝ RES";"40W000000004121B"
"40X000000000361Y";37977;"ÇATALTEPE RES(ALÝZE)";"40W000000037977U"
"40X000000000361Y";37842;"Çataltepe RES";"40W000000037842G"
"40X000000000393L";3627;"AMYLUM NÝÞASTA KOJENERASYON SANTRALÝ-1";"40W000000003627L"
"40X000000000618N";4066;"Çakýrlar Hidroelektrik Santrali";"40W000000004066U"
"40X000000006579E";337644;"Anadolu Ýplik Kojenerasyon";"40W100000337644N"
"40X000000000425Y";3689;"ANEMON ENERJÝ ELEKTRÝK ÜRETÝM A.Þ";"40W100000003689N"
"40X000000003526D";25815;"Sabunsuyu II HES";"40W000000025815Z"
"40X000000003526D";25614;"Sabuuyu II HES";"40W0000000256148"
"40X0000000061832";238571;"HASANKALE HES";"40W0000002385712"
"40X000000009508M";3194585;"KURTKAYASI RES";"40W000003194585W"
"40X000000010332Z";3196897;"AREL Y.EN.ISPARTA B.TES.";"40W0000031968973"
