"id";"name";"eic";"ppEIC"
3204384;"BOZCAADA RÜZGAR ENERJÝSÝ SANTRALI Demirer Holding A.Þ.";"40W000003204384F";"40W000000000120X"
3568;"ALÝZE ENERJÝ ELEKTRÝK ÜRETÝM A.Þ.";"40W000000003568B";"40W0000000004560"
3668;"Mare Manastýr RES Sanayi ve Ticaret Anonim Þirketi";"40W0000000036687";"40W000000000493V"
3689;"ANEMON ENERJÝ ELEKTRÝK ÜRETÝM A.Þ";"40W100000003689N";"40W000000000502J"
3716;"Karakurt";"40W000000003716M";"40W000000000506B"
3729;"DOÐAL ENERJÝ ELEKTRÝK ÜRETÝM A.Þ(BURGAZ)";"40W000000003729D";"40W000000000558T"
3744;"BANDIRMA RES";"40W000000003744H";"40W000000000573X"
2703;"BANDIRMA RES(BÝLGÝN GÜÇ)";"40W100000002703N";"40W000000000573X"
3757;"ÝNNORES YUNTDAG RES";"40W0000000037578";"40W000000000587M"
3766;"SEBENOBA RES";"40W0000000037667";"40W000000000591V"
3777;"SANKO RÜZGAR ENERJÝSÝ SAN VE TÝC A.Þ.(Çatalca Res)";"40W0000000037772";"40W000000000610G"
3779;"DOÐAL ENERJÝ ELEKTRÝK ÜRETÝM A.Þ(SAYALAR)";"40W000000003779Z";"40W000000000613A"
3780;"KEMERBURGAZ RES";"40W000000003780D";"40W0000000006156"
28368;"ERKAN ERDOÐAN";"40W000000028368J";"40W0000000006156"
3784;"ÞAMLI RES";"40W0000000037845";"40W000000000619Z"
3648;"TEPERES Elektrik Üretim A.Þ.(Tepe Res)";"40W000000003648D";"40W000000000663W"
3837;"DARES DATÇA RES";"40W000000003837A";"40W000000000664U"
3925;"AKBÜK RES(AYEN ENR.)";"40W000000003925D";"40W000000000675P"
4063;"GÖKÇEDAÐ RES";"40W100000004063N";"40W000000000694L"
4071;"Ütopya Elektrik Üretim San. ve Tic. A.Þ.(Düzova RES)";"40W0000000040710";"40W000000000726Y"
3988;"ALÝZE ENERJÝ ELEKTRÝK ÜRETÝM A.Þ.(ÇAMSEKÝ)";"40W000000003988Q";"40W000000000729S"
3989;"KELTEPE RES";"40W000000003989O";"40W0000000007306"
4421;"BELEN ELEKTRÝK ÜRETÝM A.Þ.";"40W000010004421R";"40W0000000007411"
4070;"MAZI-3 RÜZGAR ENERJÝSÝ SANTRALÝ";"40W0000000040702";"40W000000000748O"
4130;"ALÝZE ENERJÝ ELEKTRÝK ÜRETÝM A.Þ. (SARIKAYA RES)";"40W000000004130A";"40W000000000749M"
4094;"SOMA RES(SOMA ENR.)";"40W000000004094P";"40W000000000760Y"
4201;"Soma Enerji Elektrik Üretim A.Þ.";"40W000000004201D";"40W000000000760Y"
4093;"AKENERJÝ AYYILDIZ RES";"40W000000004093R";"40W000000000761W"
7490;"GALATA WÝND (MERSÝN RES)";"40W0000000074902";"40W000000001401K"
5405;"KORES Kocadað";"40W000000005405T";"40W000000001581T"
6385;"ALÝAÐA RES(BERGAMA RES ENR.)";"40W0000000063854";"40W000000002141F"
6287;"BANDIRMA III RES(BURSA TEMÝZ ENR.)";"40W0000000062874";"40W0000000021635"
7591;"Boreas 1 Enez RES";"40W000000007591X";"40W000000002321D"
9810;"SENBUK RES(BAKRAS ENR.)";"40W0000000098100";"40W0000000025215"
18651;"Ziyaret RES";"40W000000018651U";"40W000000003182X"
3195729;"SEFERÝHÝSAR RES(ÜÇGEN)";"40W000003195729T";"40W000000003222A"
3205890;"SOMA RES(BÝLGÝN ENR.)";"40W000003205890W";"40W000000003302C"
26808;"Sares RES";"40W000000026808R";"40W0000000041237"
26087;"KUYUCAK RES";"40W0000000260870";"40W0000000042063"
29330;"SUSURLUK RES";"40W0000000293302";"40W000000004265O"
28383;"SABAÞ ELEKTRÝK ÜRETÝM A.Þ.";"40W000000028383N";"40W000000004373L"
31373;"ENERJÝSA ÇANAKKALE RES";"40W000000031373I";"40W0000000044884"
37977;"ÇATALTEPE RES(ALÝZE)";"40W000000037977U";"40W0000000047492"
38378;"GALATA WIND ENERJÝ  A.Þ. (ÞAH RES)";"40W000000038378A";"40W000000004812L"
49231;"Seyitali RES";"40W000000049231T";"40W000000004889N"
49248;"AKRES";"40W000000049248C";"40W000000004914D"
53016;"Killik RES";"40W000000053016K";"40W000000004949V"
99112;"BOZYAKA RES";"40W0000000991127";"40W000000005029V"
60855;"SEYÝT ONBAÞI RES";"40W000000060855O";"40W0000000050341"
81786;"SÖKE ÇATALBÜK";"40W0000000817860";"40W000000005088F"
81830;"CAN ENERJÝ ENTEGRE ELEKTRÝK ÜRETÝM A.Þ. - METRÝSTEPE";"40W000000081830N";"40W0000000051208"
83166;"AKSU TEMÝZ ENERJÝ ELEKTRÝK ÜR. SAN. VE TÝC. A.Þ.";"40W000000083166K";"40W000000005169F"
85919;"Kayadüzü RES";"40W000000085919O";"40W000000005209T"
99505;"EOLOS RÜZGAR ENERJÝSÝ ÜRETÝM A.Þ.";"40W000000099505P";"40W000000005313Y"
100179;"Karadað RES";"40W000000100179U";"40W000000005540N"
1152888;"GERES RES";"40W000001152888R";"40W000000005541L"
100467;"ENERJÝSA DAÐPAZARI RES";"40W000000100467P";"40W000000005542J"
106547;"POYRAZ RES(POYRAZ ENR.)";"40W000000106547Y";"40W000000005611Q"
106589;"SAMURLU RES";"40W000000106589I";"40W000000005636A"
106570;"KOZBEYLÝ RES";"40W0000001065702";"40W000000005651E"
106571;"KOZBEYLÝ RES";"40W0000001065710";"40W000000005651E"
107162;"ENERJÝSA BALIKESÝR RES";"40W000000107162C";"40W000000005714G"
114305;"MANRES ELEKTRÝK ÜRETÝM A.Þ";"40W000000114305P";"40W000000005874V"
335505;"KIROBA A.Þ.";"40W000000335505N";"40W000000005892T"
118201;"LODOS KARABURUN RES";"40W000000118201H";"40W000000005895N"
117886;"OLGU ENERJÝ YATIRIM ÜRETÝM VE TÝCARET A.Þ.";"40W0000001178861";"40W000000005936Z"
118303;"KAPIDAÐ RES";"40W0000001183039";"40W000000006076H"
611429;"PAÞALÝMANI RES";"40W000000611429O";"40W000000006302Y"
3205891;"Zeytineli RES";"40W000003205891U";"40W0000000065377"
335842;"REDDEDÝLDÝ 1";"40W0000003358425";"40W000000006616B"
336404;"EdincikRES";"40W000000336404O";"40W000000006616B"
308335;"Senbuk27(YENÝ BELEN ENR.)";"40W000000308335P";"40W0000000066802"
340575;"AL-YEL ELEKTRÝK ÜRETÝM A.Þ.";"40W000000340575L";"40W0000000067604"
472293;"MORDOÐAN RES(AYEN ENR.)";"40W000000472293X";"40W000000007023X"
609542;"Salman RES";"40W000000609542V";"40W0000000070982"
609493;"Karadere RES";"40W000000609493I";"40W000000007158A"
804475;"Þadýllý RES";"40W000000804475V";"40W0000000071598"
538714;"SARAY DÖKÜM RES";"40W000000538714M";"40W000000007160N"
799878;"HASANBEYLÝ RES";"40W000000799878B";"40W0000000074384"
806192;"UÞAK RES";"40W000000806192X";"40W000000007459X"
3196711;"TÜRKAY-GÜNDOÐDU RES";"40W0000031967116";"40W0000000075801"
1235449;"Balabanlý RES";"40W0000012354496";"40W000000007663Y"
1624872;"KAVAKLI RES";"40W000001624872F";"40W000000007738T"
1398638;"ÇANTA RES";"40W000001398638J";"40W000000007818V"
1456124;"GÖKRES-2 RES";"40W0000014561243";"40W000000007879B"
1622561;"SÝLÝVRÝ RES";"40W0000016225615";"40W0000000080589"
1585994;"KORKMAZ RES";"40W0000015859944";"40W0000000080783"
1710365;"Kangal RES";"40W000001710365E";"40W000000008098Y"
3194123;"XZ";"40W000003194123X";"40W000000008098Y"
1622565;"KIYIKÖY RES(ALENKA ENR.)";"40W000001622565Y";"40W000000008138B"
1724115;"UMURLAR RÜZGAR ENERJÝ SANTRALÝ";"40W000001724115B";"40W0000000081585"
1808518;"ÝNCESU RES(TAMYELÝ)";"40W000001808518B";"40W0000000082581"
2060933;"PASÝF1";"40W000002060933E";"40W0000000083189"
2218389;"ÇERÇÝKAYA RES";"40W000002218389O";"40W0000000083189"
2643301;"Ortamandýra RES";"40W0000026433016";"40W000000008459S"
2225698;"Pitane RES";"40W000002225698K";"40W000000008698A"
2641915;"Harmanlýk RES";"40W000002641915I";"40W000000008780P"
2813609;"ÇEÞME RES";"40W000002813609J";"40W000000009041L"
3194007;"Baðarasý RES";"40W000003194007Z";"40W0000000090819"
3006558;"Ödemiþ RES";"40W000003006558C";"40W0000000090827"
2813540;"Koru RES";"40W000002813540T";"40W0000000090835"
3192120;"KIYIKÖY RES(BEÞÝKTEPE ENR.)";"40W000003192120C";"40W000000009201P"
3008868;"MUT RES";"40W000003008868O";"40W000000009221J"
3192160;"DÝLEK RES";"40W0000031921600";"40W000000009381Y"
3192223;"SÜLOÐLU RES";"40W0000031922232";"40W0000000094059"
3194131;"HÝLALRES ELEKTRÝK ÜRETÝM SANAYÝ VE TÝCARET A.Þ.(Hilal Res)";"40W000003194131Y";"40W000000009501D"
3194119;"AKBÜK RES(SUAY ENR.)";"40W000003194119O";"40W0000000095217"
3194011;"Adares RES(YGT ELK.ÜRT.A.Þ.)";"40W0000031940117";"40W0000000095225"
3194120;"Ýçdaþ Biga RES";"40W0000031941202";"40W000000009556P"
3194009;"POYRAZGÖLÜ RES(UFUK ENR.)";"40W000003194009V";"40W000000009562U"
3194121;"EGE RES";"40W0000031941210";"40W000000009581Q"
3194126;"YALOVA RES(AROVA )";"40W000003194126R";"40W000000009582O"
3194369;"SÖKE RES ";"40W0000031943691";"40W000000009583M"
3194167;"ADA-2 RES";"40W000003194167D";"40W000000009624Y"
3194224;"KANÝJE RES";"40W000003194224R";"40W000000009643U"
3194125;"Fuatres RES";"40W000003194125T";"40W000000009644S"
3194585;"KURTKAYASI RES";"40W000003194585W";"40W0000000097031"
3194443;"XXX";"40W000003194443F";"40W000000009763K"
3194466;"AKBÜK II RES";"40W0000031944663";"40W000000009763K"
3194923;"SÝNCÝKRES";"40W0000031949231";"40W000000009841Q"
3195222;"ULUBORLU RES";"40W000003195222Q";"40W000000009921S"
3195223;"YAYLAKÖY RES";"40W000003195223O";"40W000000009922Q"
3195652;"GERMÝYAN RES";"40W0000031956521";"40W000000010013S"
3195467;"zz";"40W000003195467X";"40W000000010041N"
3195707;"ÇATALTEPE RES(SÜPER ELK.)";"40W0000031957072";"40W000000010041N"
3195664;"SARITEPE RES";"40W000003195664V";"40W000000010062F"
3195728;"ALAÇATI RES(EGENDA EGE ENR.)";"40W000003195728V";"40W000000010064B"
3195708;"URLA RES";"40W0000031957080";"40W000000010081B"
3195709;"DEMÝRCÝLER RES(ZORLU RZG.)";"40W000003195709Z";"40W0000000100829"
3195712;"AMASYA RES";"40W0000031957129";"40W000000010102T"
3195909;"ZÝNCÝRLÝ RES";"40W000003195909R";"40W000000010141J"
3195969;"MORDOÐAN RES(EGENDA EGE ENR.)";"40W0000031959699";"40W0000000101639"
3196028;"ZELÝHA RES";"40W000003196028H";"40W000000010241F"
3196267;"BEREKETLÝ RES";"40W100003196267N";"40W000000010301N"
3206090;"KARADAÐ RES";"40W000003206090M";"40W000000010341B"
3196694;"AYRES_OVARES";"40W000003196694H";"40W000000010403F"
3196708;"MURSAL-KARAÇAYIR";"40W000003196708W";"40W000000010421D"
3196712;"ADO ENERJÝ-AKYURT RES";"40W0000031967124";"40W0000000104247"
3196728;"YAHYALI RES(BAK)";"40W000003196728Q";"40W0000000104425"
3196747;"ELMALI RES";"40W000003196747M";"40W0000000104611"
3196787;"KIRKAÐAÇ RES";"40W000003196787A";"40W000000010501F"
3196788;"KONAKPINAR RES";"40W0000031967888";"40W000000010502D"
3196901;"SEFERÝHÝSAR RÜZ. ES";"40W0000031969011";"40W0000000105243"
3196907;"KARABEL RES";"40W000003196907Q";"40W0000000105413"
3196767;"REDDEDÝLDÝ 1";"40W000003196767G";"40W000000010563U"
3196929;"URLA HASSAS RES";"40W000003196929G";"40W000000010563U"
3196950;"FATMA RES";"40W000003196950P";"40W000000010584M"
3196953;"KARACABEY RES";"40W000003196953J";"40W000000010587G"
3196955;"SARPINCIK RES";"40W000003196955F";"40W000000010589C"
3197087;"KINIK RES(ESÝNTÝ)";"40W000003197087X";"40W0000000106215"
3197568;"AÝRRES-4 RES";"40W000003197568H";"40W000000010902Y"
3197569;"BERGRES RES";"40W000003197569F";"40W000000010903W"
3197648;"BARBAROS RES";"40W000003197648J";"40W000000010942M"
3198949;"PETKÝM RES";"40W0000031989490";"40W000000010962G"
3198991;"KARTALDAÐI RES";"40W0000031989911";"40W000000011023K"
3199452;"TÝRE RES ";"40W000003199452Q";"40W000000011142C"
3200272;"ATÝK RES (GÜRÝÞ)";"40W0000032002729";"40W0000000115052"
3200291;"MANASTIR-ESENKÖY RES";"40W0000032002915";"40W000000011524Z"
3200292;"KÜREKDAÐI RES";"40W0000032002923";"40W000000011525X"
3200336;"KAROVA RES";"40W0000032003369";"40W000000011549J"
3200456;"GERÝÞ RES";"40W100003200456N";"40W000000011627P"
3200461;"HAMZABEYLÝ RES";"40W0000032004616";"40W000000011632W"
3200464;"DEMÝRCÝLÝ RES";"40W0000032004640";"40W000000011635Q"
3200590;"GÖKDAÐ RES(ÝLETKEN ENR.)";"40W000003200590W";"40W000000011703Z"
3200592;"ELMALI RES(ELMALI ENR.)";"40W000003200592S";"40W000000011705V"
3203715;"DATÇA RES";"40W000003203715N";"40W000000011905N"
3203814;"AKDAÐ RES(AHSEN ENR.)";"40W000003203814L";"40W000000011987W"
3204159;"ARDIÇLI RES(ES-YEL)";"40W000003204159M";"40W000000012164Y"
3204190;"BAÐLAR RES (BAÐLAR ELK.ÜRT.A.Þ.)";"40W000003204190S";"40W000000012183U"
3204360;"ALAÇATI RES(EÜAÞ)";"40W000003204360T";"40W000000012245Y"
3204369;"KURTÝNÝ RES / DENGE ENERJÝ ÜRETÝM SAN VE TÝC A.Þ";"40W000003204369B";"40W000000012262Y"
3204446;"EBER RES";"40W000003204446J";"40W0000000123241"
3204539;"ALÝBEY RES (ALÝBEY RES A.Þ.)";"40W000003204539C";"40W000000012345U"
3204572;"CERÝT RES_(PAKMEM)";"40W000003204572E";"40W000000012355R"
3204619;"GAZÝ RES(ARI EN)";"40W000003204619E";"40W000000012383M"
3204620;"SAKARBAYIR RES(ARI EN)";"40W000003204620T";"40W000000012384K"
3204675;"ARZU RES";"40W0000032046754";"40W000000012427S"
3205569;"KOCALAR RES(ISIDER)";"40W000003205569Z";"40W000000012482K"
4521;"BANDIRMA RES(BANDIRMA ENR.)";"40W000000004521W";"40W100000000742N"
1724086;"ALÝAÐA RES(TAN ELK.)";"40W000001724086T";"40W100000008100N"
3194130;"YAHYALI RES(SE)";"40W100003194130N";"40W100000009623N"
3204029;"KALFAKÖY RES";"40W000003204029Z";"40W100000012082N"
3204489;"BERGAMA RES ( VENTO ELK ÜRETÝM )";"40W0000032044891";"40W100000012342N"
3204648;"YENÝHÝSAR RES(YENÝ ENR.)";"40W0000032046487";"40W100000012406N"
